"Table 2.  Detailed Occupation1 by Median Earnings in the Past 12 Months, Sex and Education for Full-Time, Year-Round Workers: ACS 2016",,,,,,,,,,,,,,,,,,,
"Universe: Full-time, year-round, civilian employed population 25 years and over with earnings ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Less than Bachelor's degree,,,,,,Bachelor's degree or higher,,,,,,
Electronic home entertainment equipment installers and repairers," 42,732 "," 4,173 "," 45,144 "," 4,579 "," 31,265 "," 6,731 "," 42,533 "," 5,219 "," 45,070 "," 5,092 "," 28,162 "," 13,633 "," 43,075 "," 7,226 "," 46,531 "," 16,133 "," 37,044 "," 7,179 ",
Security and fire alarm systems installers," 45,173 "," 2,973 "," 45,305 "," 2,719 "," 32,085 "," 20,575 "," 44,602 "," 3,594 "," 44,993 "," 3,547 "," 32,085 "," 20,575 "," 46,695 "," 5,703 "," 46,695 "," 5,703 ", - , ** ,
Aircraft mechanics and service technicians," 62,555 "," 1,752 "," 63,428 "," 2,208 "," 52,241 "," 8,558 "," 62,282 "," 1,124 "," 62,634 "," 2,011 "," 52,297 "," 8,604 "," 66,170 "," 3,229 "," 66,707 "," 3,177 "," 51,133 "," 22,174 ",
Automotive body and related repairers," 41,967 ", 782 ," 42,145 "," 1,233 "," 27,443 "," 17,311 "," 41,946 ", 766 ," 42,124 "," 1,116 "," 27,443 "," 17,311 "," 48,494 "," 22,460 "," 48,494 "," 22,460 ", - , ** ,
Automotive glass installers and repairers," 37,101 "," 3,946 "," 37,223 "," 3,968 "," 31,938 "," 41,477 "," 36,474 "," 4,344 "," 36,538 "," 4,400 "," 32,204 "," 48,543 "," 39,422 "," 12,020 "," 39,598 "," 15,809 ", - , ** ,
Automotive service technicians and mechanics," 39,342 "," 1,056 "," 39,433 "," 1,026 "," 31,014 "," 6,841 "," 39,202 "," 1,165 "," 39,288 "," 1,134 "," 30,992 "," 7,345 "," 41,442 "," 3,781 "," 41,720 "," 4,356 "," 37,636 "," 40,925 ",
Bus and truck mechanics and diesel engine specialists," 46,916 ", 668 ," 47,003 ", 663 ," 37,051 "," 8,384 "," 46,821 ", 658 ," 46,920 ", 658 ," 36,423 "," 10,286 "," 49,325 "," 3,904 "," 49,091 "," 3,982 "," 70,461 "," 38,981 ",
Heavy vehicle and mobile equipment service technicians and mechanics," 51,819 ", 471 ," 51,875 ", 468 ," 36,625 "," 6,463 "," 51,922 ", 509 ," 51,981 ", 509 ," 36,604 "," 6,356 "," 50,085 "," 8,573 "," 50,099 "," 8,474 ", - , ** ,
Small engine mechanics," 35,101 "," 2,938 "," 35,136 "," 2,784 "," 30,427 "," 25,640 "," 34,758 "," 3,495 "," 34,877 "," 3,429 "," 30,213 "," 23,337 "," 45,287 "," 8,269 "," 45,235 "," 8,311 ", - , ** ,
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"," 31,763 "," 1,156 "," 31,747 "," 1,183 "," 32,459 "," 28,279 "," 31,875 "," 1,234 "," 31,749 "," 1,199 "," 46,216 "," 1,227 "," 29,637 "," 6,230 "," 31,690 "," 9,509 "," 11,743 "," 20,548 ",
Control and valve installers and repairers," 54,592 "," 4,129 "," 55,201 "," 3,825 "," 40,096 "," 22,649 "," 52,794 "," 3,892 "," 53,127 "," 4,119 "," 45,306 "," 39,215 "," 66,555 "," 11,942 "," 72,712 "," 15,401 ", - , ** ,
"Heating, air conditioning, and refrigeration mechanics and installers"," 46,991 ", 648 ," 47,067 ", 666 ," 40,339 "," 8,696 "," 46,932 ", 693 ," 47,013 ", 709 ," 40,508 "," 8,763 "," 48,929 "," 6,047 "," 49,079 "," 6,087 ", - , ** ,
Home appliance repairers," 39,832 "," 2,859 "," 40,424 "," 1,962 "," 21,141 "," 3,382 "," 39,410 "," 3,058 "," 40,208 "," 2,357 "," 18,699 "," 4,402 "," 60,154 "," 26,390 "," 60,351 "," 10,981 "," 26,918 "," 58,152 ",
Industrial and refractory machinery mechanics," 51,547 ", 385 ," 51,653 ", 396 ," 45,719 "," 2,946 "," 51,420 ", 395 ," 51,544 ", 409 ," 44,867 "," 2,955 "," 57,882 "," 6,741 "," 57,550 "," 7,345 "," 71,719 "," 46,466 ",
"Maintenance and repair workers, general"," 45,723 ", 577 ," 45,892 ", 586 ," 36,953 "," 7,535 "," 45,365 ", 638 ," 45,562 ", 628 ," 35,483 "," 5,675 "," 51,190 "," 1,504 "," 50,966 "," 1,506 "," 73,942 "," 32,105 ",
"Maintenance workers, machinery"," 48,999 "," 3,338 "," 49,903 "," 3,030 "," 36,327 "," 2,588 "," 48,381 "," 3,485 "," 49,553 "," 3,211 "," 35,928 "," 5,685 "," 68,235 "," 21,772 "," 70,005 "," 27,205 "," 59,400 "," 30,434 ",
Millwrights," 63,188 "," 3,573 "," 64,252 "," 3,867 "," 47,123 "," 8,838 "," 63,045 "," 3,567 "," 63,849 "," 3,821 "," 46,812 "," 13,913 "," 66,250 "," 16,828 "," 71,018 "," 19,595 ", - , ** ,
Electrical power-line installers and repairers," 72,299 "," 3,153 "," 72,418 "," 3,459 "," 48,017 "," 21,501 "," 71,997 "," 2,439 "," 72,091 "," 2,709 "," 41,949 "," 24,805 "," 85,728 "," 10,213 "," 85,953 "," 8,328 ", - , ** ,
Telecommunications line installers and repairers," 51,482 ", 913 ," 51,239 ", 911 ," 60,954 "," 3,152 "," 50,934 "," 1,008 "," 50,752 "," 1,002 "," 60,034 "," 8,030 "," 62,366 "," 7,325 "," 61,867 "," 4,292 "," 70,402 "," 2,356 ",
Precision instrument and equipment repairers," 52,368 "," 3,065 "," 55,257 "," 3,203 "," 38,997 "," 6,581 "," 51,700 "," 2,907 "," 55,127 "," 3,844 "," 37,332 "," 6,443 "," 56,807 "," 6,356 "," 56,449 "," 7,159 "," 70,417 "," 43,435 ",
"Coin, vending, and amusement machine servicers and repairers"," 37,855 "," 1,807 "," 39,290 "," 2,147 "," 30,631 "," 3,279 "," 37,372 "," 1,673 "," 38,730 "," 2,119 "," 30,411 "," 3,774 "," 50,282 "," 12,546 "," 50,529 "," 11,314 ", - , ** ,
Commercial divers," 42,199 "," 26,934 "," 50,197 "," 27,404 ", - , ** ," 47,042 "," 25,832 "," 47,201 "," 25,864 ", - , ** , - , ** , - , ** , - , ** ,
Locksmiths and safe repairers," 45,204 "," 5,157 "," 45,810 "," 4,416 "," 30,438 "," 19,598 "," 42,738 "," 5,352 "," 45,231 "," 5,248 "," 26,499 "," 6,023 "," 69,500 "," 37,210 "," 62,370 "," 18,206 "," 98,232 "," 82,760 ",
Manufactured building and mobile home installers," 42,928 "," 10,456 "," 42,928 "," 10,456 ", - , ** ," 42,928 "," 10,456 "," 42,928 "," 10,456 ", - , ** , - , ** , - , ** , - , ** ,
Riggers," 50,800 "," 4,014 "," 50,929 "," 3,846 ", - , ** ," 50,817 "," 4,912 "," 50,889 "," 4,506 ", - , ** ," 50,647 "," 10,670 "," 51,279 "," 13,074 ", - , ** ,
Signal and track switch repairers," 76,446 "," 7,811 "," 76,402 "," 7,797 ", - , ** ," 76,826 "," 8,707 "," 76,773 "," 8,629 ", - , ** ," 69,583 "," 21,610 "," 69,583 "," 21,610 ", - , ** ,
"Helpers--installation, maintenance, and repair workers"," 31,718 "," 4,172 "," 31,364 "," 4,661 "," 35,959 "," 3,278 "," 30,635 "," 4,128 "," 30,132 "," 5,017 "," 35,959 "," 3,278 "," 40,575 "," 7,103 "," 40,575 "," 7,103 ", - , ** ,
"Other installation, maintenance, and repair workers, including wind turbine service technicians"," 41,609 ", 567 ," 41,884 ", 603 ," 35,505 "," 4,084 "," 41,288 ", 627 ," 41,604 ", 665 ," 32,695 "," 5,599 "," 46,210 "," 4,377 "," 46,342 "," 4,444 "," 42,745 "," 19,202 ",
"Production, Transportation, and Material Moving Occupations"," 38,352 ", 229 ," 41,211 ", 90 ," 29,116 ", 280 ," 37,354 ", 104 ," 40,824 ", 91 ," 28,029 ", 293 ," 49,757 ", 821 ," 51,149 ", 312 ," 40,362 ", 743 ,
Production Occupations," 38,215 ", 269 ," 41,900 ", 111 ," 29,266 ", 327 ," 37,227 ", 132 ," 41,430 ", 113 ," 28,243 ", 341 ," 50,632 ", 382 ," 52,724 "," 1,637 "," 40,259 "," 1,122 ",
First-line supervisors of production and operating workers," 53,781 "," 1,022 "," 56,939 ", 528 ," 41,801 ", 815 ," 51,537 ", 314 ," 54,703 ", 934 ," 37,477 "," 1,444 "," 73,147 "," 2,310 "," 75,515 "," 1,727 "," 67,729 "," 4,188 ",
"Aircraft structure, surfaces, rigging, and systems assemblers"," 48,516 "," 6,599 "," 50,717 "," 4,472 "," 31,082 "," 17,132 "," 47,049 "," 7,160 "," 50,280 "," 5,719 "," 31,082 "," 17,132 "," 63,567 "," 21,920 "," 63,567 "," 21,920 ", - , ** ,
"Electrical, electronics, and electromechanical assemblers"," 31,737 ", 445 ," 35,759 ", 894 ," 30,038 "," 1,002 "," 31,657 ", 451 ," 35,739 ", 937 ," 30,055 "," 1,030 "," 35,198 "," 3,974 "," 36,042 "," 4,490 "," 29,058 "," 11,662 ",
Engine and other machine assemblers," 45,305 "," 5,721 "," 50,288 "," 4,546 "," 29,740 "," 4,044 "," 45,390 "," 6,582 "," 50,403 "," 4,448 "," 29,251 "," 5,114 "," 44,858 "," 21,391 "," 46,639 "," 33,952 ", - , ** ,
Structural metal fabricators and fitters," 43,399 "," 4,093 "," 43,246 "," 4,128 "," 45,391 "," 6,607 "," 43,050 "," 3,862 "," 42,897 "," 3,830 "," 45,391 "," 6,607 "," 51,300 "," 25,252 "," 51,300 "," 25,252 ", - , ** ,
Miscellaneous assemblers and fabricators," 32,196 ", 233 ," 35,751 ", 439 ," 29,447 ", 831 ," 32,079 ", 248 ," 35,551 ", 467 ," 29,364 ", 861 ," 36,343 "," 1,374 "," 39,641 "," 2,698 "," 30,394 "," 1,943 ",
Bakers," 26,505 ", 426 ," 27,647 "," 1,586 "," 25,525 ", 704 ," 26,396 ", 433 ," 27,478 "," 1,509 "," 25,331 ", 858 ," 27,725 "," 2,099 "," 30,369 "," 5,955 "," 27,144 "," 1,769 ",
"Butchers and other meat, poultry, and fish processing workers"," 30,599 ", 536 ," 31,935 ", 577 ," 25,691 ", 789 ," 30,473 ", 561 ," 31,830 ", 597 ," 25,730 ", 781 ," 32,796 "," 3,746 "," 34,714 "," 5,099 "," 23,666 "," 6,162 ",
"Food and tobacco roasting, baking, and drying machine operators and tenders"," 31,431 "," 6,285 "," 35,186 "," 8,280 "," 26,499 "," 3,515 "," 31,032 "," 5,037 "," 35,720 "," 8,846 "," 26,127 "," 1,972 "," 35,505 "," 12,251 "," 27,344 "," 20,262 "," 36,264 "," 7,557 ",
Food batchmakers," 28,181 "," 1,292 "," 33,798 "," 2,571 "," 26,064 ", 705 ," 28,305 "," 1,523 "," 33,684 "," 2,534 "," 26,007 ", 764 ," 27,528 "," 1,927 "," 44,139 "," 22,496 "," 26,621 "," 2,194 ",
Food cooking machine operators and tenders," 30,053 "," 4,161 "," 32,019 "," 4,785 "," 21,825 "," 4,516 "," 30,070 "," 4,826 "," 32,058 "," 5,629 "," 21,796 "," 4,494 "," 29,740 "," 9,195 ", - , ** , - , ** ,
"Food processing workers, all other"," 33,292 "," 2,269 "," 36,324 ", 991 ," 30,172 "," 1,671 "," 32,825 "," 2,070 "," 36,043 "," 1,120 "," 29,883 "," 2,141 "," 36,855 "," 3,779 "," 41,053 "," 5,972 "," 31,373 "," 2,622 ",
Computer control programmers and operators," 45,750 "," 1,096 "," 46,578 "," 1,031 "," 35,571 "," 2,666 "," 45,345 "," 1,345 "," 46,302 "," 1,009 "," 34,665 "," 3,450 "," 55,357 "," 7,112 "," 52,671 "," 7,087 "," 64,032 "," 4,262 ",
"Extruding and drawing machine setters, operators, and tenders, metal and plastic"," 37,364 "," 4,237 "," 37,437 "," 4,635 "," 36,520 "," 11,211 "," 37,334 "," 4,404 "," 37,308 "," 4,647 "," 37,826 "," 9,111 "," 37,863 "," 6,807 "," 40,550 "," 8,191 ", - , ** ,
"Forging machine setters, operators, and tenders, metal and plastic"," 46,077 "," 1,543 "," 46,185 "," 1,690 "," 40,659 "," 13,798 "," 45,839 "," 1,851 "," 45,987 "," 1,590 "," 32,472 "," 18,424 "," 115,466 "," 49,078 ", - , ** , - , ** ,
"Rolling machine setters, operators, and tenders, metal and plastic"," 35,906 "," 5,905 "," 42,261 "," 14,108 "," 31,616 "," 4,938 "," 35,820 "," 5,938 "," 42,557 "," 15,076 "," 31,424 "," 4,845 "," 40,527 "," 18,341 ", - , ** , - , ** ,
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"," 33,010 "," 1,604 "," 34,677 "," 1,749 "," 30,270 "," 1,836 "," 33,191 "," 1,707 "," 34,841 "," 1,647 "," 30,390 "," 1,652 "," 29,618 "," 5,539 "," 30,728 "," 6,589 "," 21,729 "," 13,318 ",
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic"," 41,007 "," 8,958 "," 47,928 "," 10,479 "," 25,953 "," 1,122 "," 41,378 "," 7,175 "," 42,429 "," 11,845 "," 19,909 "," 11,974 "," 27,121 "," 43,802 "," 53,428 "," 9,523 ", - , ** ,
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"," 34,275 "," 2,681 "," 35,255 "," 2,162 "," 27,351 "," 3,889 "," 34,073 "," 2,675 "," 35,148 "," 2,402 "," 27,348 "," 3,741 "," 36,737 "," 16,828 "," 36,728 "," 18,269 "," 47,519 "," 54,826 ",
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"," 39,892 "," 4,154 "," 40,877 "," 3,019 "," 33,141 "," 8,840 "," 39,636 "," 4,281 "," 40,792 "," 3,378 "," 33,141 "," 8,840 "," 85,633 "," 120,049 "," 85,633 "," 120,049 ", - , ** ,
"Milling and planing machine setters, operators, and tenders, metal and plastic"," 41,422 "," 26,700 "," 45,329 "," 26,295 "," 11,674 "," 61,046 "," 41,422 "," 26,700 "," 45,329 "," 26,295 "," 11,674 "," 61,046 ", - , ** , - , ** , - , ** ,
Machinists," 47,715 "," 1,005 "," 48,583 "," 1,116 "," 32,407 "," 2,922 "," 47,689 "," 1,046 "," 48,596 "," 1,167 "," 32,258 "," 2,901 "," 48,124 "," 3,339 "," 48,387 "," 3,285 "," 38,770 "," 21,387 ",
"Metal furnace operators, tenders, pourers, and casters"," 44,436 "," 3,612 "," 47,179 "," 5,695 "," 32,115 "," 9,353 "," 44,349 "," 3,647 "," 47,136 "," 5,839 "," 32,361 "," 9,204 "," 46,906 "," 39,950 "," 65,085 "," 43,673 ", - , ** ,
"Model makers and patternmakers, metal and plastic"," 48,967 "," 6,898 "," 49,026 "," 6,208 "," 44,894 "," 33,764 "," 46,831 "," 6,794 "," 48,947 "," 6,408 "," 41,098 "," 2,820 "," 71,250 "," 20,476 "," 57,833 "," 45,656 "," 88,056 "," 39,340 ",
"Molders and molding machine setters, operators, and tenders, metal and plastic"," 36,474 "," 2,000 "," 38,502 "," 2,595 "," 29,096 "," 2,031 "," 36,762 "," 2,034 "," 38,713 "," 2,567 "," 29,463 "," 2,146 "," 27,305 "," 12,845 "," 33,562 "," 11,011 "," 23,418 "," 1,172 ",
"Multiple machine tool setters, operators, and tenders, metal and plastic"," 51,546 "," 7,508 "," 52,642 "," 6,555 "," 46,329 "," 1,137 "," 51,843 "," 8,744 "," 51,740 "," 8,824 "," 250,213 "," 450,841 "," 47,274 "," 61,406 ", - , ** , - , ** ,
Tool and die makers," 56,088 "," 1,453 "," 56,169 "," 1,454 "," 48,137 "," 15,097 "," 55,712 "," 1,532 "," 55,824 "," 1,513 "," 43,958 "," 14,313 "," 68,856 "," 7,959 "," 67,394 "," 8,620 ", - , ** ,
"Welding, soldering, and brazing workers"," 41,313 ", 333 ," 41,704 ", 347 ," 31,680 "," 1,204 "," 41,315 ", 329 ," 41,703 ", 347 ," 31,247 "," 1,157 "," 41,085 "," 7,791 "," 41,822 "," 8,490 "," 36,925 "," 13,839 ",
"Heat treating equipment setters, operators, and tenders, metal and plastic"," 44,934 "," 5,907 "," 46,422 "," 8,264 "," 24,395 "," 7,158 "," 46,189 "," 7,862 "," 47,955 "," 10,129 "," 24,395 "," 7,158 "," 39,891 "," 15,062 "," 39,891 "," 15,062 ", - , ** ,
"Layout workers, metal and plastic"," 50,880 "," 3,415 "," 51,590 "," 5,694 "," 46,871 "," 7,731 "," 51,106 "," 3,270 "," 52,073 "," 6,144 "," 46,505 "," 7,565 "," 46,313 "," 6,246 "," 45,861 "," 8,358 "," 58,780 "," 59,259 ",
"Plating and coating machine setters, operators, and tenders, metal and plastic"," 33,693 "," 3,426 "," 34,021 "," 3,995 "," 29,669 "," 15,988 "," 33,134 "," 3,247 "," 33,410 "," 3,682 "," 29,669 "," 15,988 "," 48,095 "," 11,573 "," 48,095 "," 11,573 ", - , ** ,
"Tool grinders, filers, and sharpeners"," 45,473 "," 4,112 "," 45,874 "," 5,257 "," 30,923 "," 17,329 "," 45,598 "," 4,425 "," 45,766 "," 4,665 "," 19,652 "," 45,112 "," 31,827 "," 38,342 "," 52,987 "," 46,134 ", - , ** ,
"Metal workers and plastic workers, all other"," 35,946 ", 508 ," 38,025 "," 1,194 "," 29,742 "," 1,145 "," 35,813 ", 502 ," 37,797 "," 1,104 "," 29,450 "," 1,225 "," 40,573 "," 2,739 "," 41,489 "," 3,070 "," 37,597 "," 10,132 ",
Prepress technicians and workers," 36,511 "," 1,929 "," 41,609 "," 3,961 "," 30,983 "," 2,525 "," 35,341 "," 2,916 "," 40,732 "," 2,142 "," 30,373 "," 3,563 "," 43,889 "," 12,131 "," 46,223 "," 2,741 "," 36,209 "," 1,927 ",
"Printing workers, except prepress technicians and workers"," 38,710 "," 1,541 "," 41,096 ", 550 ," 30,035 "," 1,328 "," 38,434 "," 1,638 "," 41,000 ", 581 ," 29,436 "," 1,787 "," 40,482 "," 1,856 "," 42,028 "," 2,897 "," 32,862 "," 3,316 ",
Laundry and dry-cleaning workers," 23,039 ", 835 ," 27,430 "," 2,022 "," 21,387 ", 594 ," 22,876 ", 831 ," 27,163 "," 1,856 "," 21,337 ", 611 ," 26,649 "," 3,766 "," 31,807 "," 9,906 "," 23,519 "," 4,986 ",
"Pressers, textile, garment, and related materials"," 21,567 "," 1,229 "," 27,100 "," 2,716 "," 19,815 "," 2,351 "," 21,489 "," 1,235 "," 26,970 "," 2,765 "," 19,793 "," 2,359 "," 25,139 "," 17,737 "," 55,551 "," 47,878 "," 22,780 "," 23,463 ",
Sewing machine operators," 23,781 ", 808 ," 25,776 "," 1,109 "," 22,949 ", 858 ," 23,633 ", 838 ," 25,553 "," 1,207 "," 22,904 ", 872 ," 26,545 "," 2,936 "," 32,102 "," 11,067 "," 25,189 "," 4,986 ",
Shoe and leather workers and repairers," 27,667 "," 5,517 "," 27,883 "," 5,748 "," 26,659 "," 18,198 "," 27,613 "," 5,931 "," 27,565 "," 6,688 "," 29,375 "," 16,076 "," 27,920 "," 16,757 "," 29,336 "," 37,342 "," 13,699 ", 650 ,
Shoe machine operators and tenders," 23,184 "," 3,319 "," 25,374 "," 3,039 "," 20,497 "," 6,365 "," 23,184 "," 3,319 "," 25,374 "," 3,039 "," 20,497 "," 6,365 ", - , ** , - , ** , - , ** ,
"Tailors, dressmakers, and sewers"," 26,281 "," 1,231 "," 36,478 "," 4,127 "," 24,158 "," 1,629 "," 25,478 "," 1,409 "," 35,651 "," 10,265 "," 23,402 "," 1,686 "," 32,426 "," 7,520 "," 47,617 "," 23,276 "," 27,295 "," 6,911 ",
Textile bleaching and dyeing machine operators and tenders," 30,281 "," 9,031 "," 31,153 "," 1,782 "," 23,655 "," 8,702 "," 31,725 "," 1,448 "," 32,008 "," 3,072 "," 31,087 ", 598 ," 23,378 "," 3,501 "," 24,108 "," 1,641 "," 22,529 "," 12,869 ",
"Textile cutting machine setters, operators, and tenders"," 22,233 "," 2,139 "," 23,992 "," 9,074 "," 21,326 "," 1,703 "," 22,243 "," 2,249 "," 23,855 "," 8,426 "," 21,418 "," 1,782 "," 21,833 "," 21,898 ", - , ** , - , ** ,
"Textile knitting and weaving machine setters, operators, and tenders"," 27,650 "," 3,284 "," 27,016 "," 7,159 "," 28,090 "," 2,222 "," 27,894 "," 3,375 "," 27,285 "," 7,668 "," 28,090 "," 2,153 "," 11,469 "," 22,352 ", - , ** ," 26,250 "," 43,855 ",
"Textile winding, twisting, and drawing out machine setters, operators, and tenders"," 26,820 "," 1,345 "," 30,006 "," 4,593 "," 26,061 "," 1,172 "," 26,616 "," 1,316 "," 29,835 "," 4,616 "," 25,817 "," 1,143 ", - , ** , - , ** , - , ** ,
Fabric and apparel patternmakers," 61,630 "," 1,594 "," 66,227 "," 20,858 "," 61,097 "," 1,080 "," 61,368 ", 863 ," 62,077 "," 68,065 "," 61,155 "," 1,011 "," 66,091 "," 10,357 "," 66,727 "," 13,253 "," 60,313 "," 20,558 ",
Upholsterers," 34,780 "," 5,643 "," 35,786 "," 4,484 "," 30,003 "," 5,164 "," 33,720 "," 5,103 "," 35,578 "," 4,943 "," 30,082 "," 5,675 "," 40,758 "," 14,445 "," 41,605 "," 15,120 "," 29,201 "," 26,429 ",
"Miscellaneous textile, apparel, and furnishings workers, including extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"," 31,768 "," 1,662 "," 35,401 "," 3,024 "," 29,996 "," 3,166 "," 30,968 "," 1,565 "," 34,019 "," 4,311 "," 28,632 "," 4,169 "," 37,183 "," 5,189 "," 40,960 "," 10,458 "," 33,745 "," 1,517 ",
Cabinetmakers and bench carpenters," 36,211 "," 1,278 "," 37,098 "," 1,724 "," 28,272 "," 3,572 "," 35,938 "," 1,327 "," 36,851 "," 1,529 "," 27,853 "," 3,996 "," 41,309 "," 4,027 "," 41,301 "," 3,720 "," 87,533 "," 125,466 ",
Furniture finishers," 33,372 "," 5,341 "," 36,813 "," 6,777 "," 22,419 "," 11,740 "," 32,157 "," 3,148 "," 35,445 "," 6,132 "," 22,131 "," 8,391 "," 49,462 "," 7,945 "," 48,019 "," 12,527 "," 55,781 "," 35,876 ",
"Sawing machine setters, operators, and tenders, wood"," 29,032 "," 3,081 "," 30,122 "," 1,799 "," 22,369 "," 6,281 "," 29,527 "," 2,701 "," 30,122 "," 1,783 "," 25,375 "," 5,871 "," 16,475 "," 17,532 "," 30,112 "," 29,549 ", - , ** ,
"Woodworking machine setters, operators, and tenders, except sawing"," 28,732 "," 2,449 "," 30,526 "," 1,449 "," 24,189 "," 1,728 "," 28,647 "," 2,448 "," 30,509 "," 1,483 "," 24,112 "," 1,686 "," 36,333 "," 48,522 "," 35,575 "," 81,376 "," 51,141 "," 118,598 ",
"Miscellaneous woodworkers, including model makers and patternmakers"," 32,377 "," 2,285 "," 32,361 "," 1,917 "," 32,625 "," 12,529 "," 32,488 "," 2,869 "," 32,593 "," 3,023 "," 32,137 "," 11,096 "," 31,431 "," 7,761 "," 30,445 "," 7,139 "," 40,397 "," 14,833 ",
"Power plant operators, distributors, and dispatchers"," 90,173 "," 3,074 "," 90,636 "," 2,128 "," 76,659 "," 24,523 "," 86,075 "," 3,711 "," 86,720 "," 4,403 "," 66,984 "," 42,355 "," 100,948 "," 2,403 "," 101,217 "," 1,139 "," 90,341 "," 24,797 ",
Stationary engineers and boiler operators," 59,953 "," 3,427 "," 60,102 "," 2,741 "," 42,076 "," 23,574 "," 57,231 "," 3,132 "," 57,843 "," 3,561 "," 35,548 "," 8,356 "," 68,324 "," 7,263 "," 66,818 "," 7,629 "," 71,679 "," 2,046 ",
Water and wastewater treatment plant and system operators," 50,047 "," 1,738 "," 50,255 ", 916 ," 40,633 "," 9,904 "," 49,317 "," 2,415 "," 50,017 "," 2,042 "," 40,357 "," 11,502 "," 51,360 "," 1,957 "," 51,660 "," 2,235 "," 41,302 "," 9,518 ",
Miscellaneous plant and system operators," 65,148 "," 3,285 "," 65,474 "," 2,529 "," 54,063 "," 10,863 "," 63,222 "," 3,652 "," 64,464 "," 3,596 "," 53,592 "," 6,479 "," 82,531 "," 11,800 "," 81,679 "," 12,933 "," 100,559 "," 17,829 ",
"Chemical processing machine setters, operators, and tenders"," 52,816 "," 4,718 "," 52,387 "," 4,822 "," 55,732 "," 10,462 "," 52,421 "," 4,372 "," 52,692 "," 5,017 "," 45,409 "," 27,230 "," 55,769 "," 7,457 "," 52,056 "," 5,358 "," 81,151 "," 39,258 ",
"Crushing, grinding, polishing, mixing, and blending workers"," 38,805 "," 2,191 "," 40,188 "," 1,433 "," 30,622 "," 5,067 "," 37,762 "," 1,829 "," 39,623 "," 1,853 "," 28,833 "," 3,917 "," 51,936 "," 13,526 "," 50,846 "," 13,058 "," 63,201 "," 23,962 ",
Cutting workers," 31,039 ", 869 ," 32,164 "," 1,142 "," 26,308 ", 974 ," 30,800 ", 867 ," 31,956 ", 996 ," 26,109 ", 954 ," 41,109 "," 5,948 "," 40,259 "," 7,303 "," 60,575 "," 26,382 ",
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"," 36,894 "," 2,558 "," 39,595 "," 3,309 "," 24,549 "," 2,198 "," 37,916 "," 3,327 "," 40,352 "," 2,829 "," 24,915 "," 1,893 "," 29,110 "," 3,043 "," 29,900 "," 1,896 "," 16,811 "," 24,628 ",
"Furnace, kiln, oven, drier, and kettle operators and tenders"," 45,776 "," 4,876 "," 46,709 "," 3,904 "," 38,576 "," 7,939 "," 45,301 "," 6,320 "," 46,199 "," 5,151 "," 38,813 "," 6,307 "," 60,642 "," 29,028 "," 76,121 "," 29,868 "," 27,295 "," 50,659 ",
"Inspectors, testers, sorters, samplers, and weighers"," 41,871 ", 300 ," 49,507 "," 1,157 "," 32,553 ", 868 ," 40,534 ", 390 ," 46,814 ", 691 ," 31,570 ", 480 ," 52,991 "," 1,866 "," 60,083 "," 1,768 "," 45,367 "," 3,493 ",
Jewelers and precious stone and metal workers," 34,331 "," 4,258 "," 40,281 "," 2,968 "," 27,029 "," 3,121 "," 31,997 "," 2,766 "," 36,168 "," 4,455 "," 25,946 "," 3,531 "," 42,027 "," 7,634 "," 56,408 "," 12,705 "," 30,594 "," 3,730 ",
"Medical, dental, and ophthalmic laboratory technicians"," 36,997 "," 1,101 "," 42,013 "," 1,639 "," 32,501 "," 2,024 "," 36,425 "," 1,129 "," 41,683 "," 1,607 "," 32,207 ", 989 ," 41,986 "," 2,863 "," 46,202 "," 9,568 "," 38,380 "," 5,936 ",
Packaging and filling machine operators and tenders," 28,137 ", 956 ," 32,104 ", 609 ," 25,365 ", 540 ," 27,931 ", 936 ," 32,169 ", 729 ," 25,368 ", 545 ," 30,695 "," 1,339 "," 31,702 "," 1,408 "," 25,244 "," 6,394 ",
Painting workers," 39,121 "," 2,393 "," 40,764 ", 798 ," 27,303 "," 2,672 "," 38,932 "," 2,450 "," 40,724 ", 826 ," 27,305 "," 2,569 "," 41,343 "," 7,530 "," 41,565 "," 8,622 "," 27,278 "," 33,091 ",
Photographic process workers and processing machine operators," 33,582 "," 4,217 "," 40,531 "," 5,294 "," 28,628 "," 4,002 "," 29,195 "," 2,243 "," 31,582 "," 2,431 "," 25,947 "," 4,706 "," 60,026 "," 15,200 "," 59,291 "," 18,714 "," 65,036 "," 32,349 ",
Semiconductor processors," 36,791 "," 10,241 "," 36,050 "," 17,693 "," 41,018 "," 12,766 "," 35,960 "," 13,415 "," 35,947 "," 18,293 "," 36,014 "," 23,535 "," 41,654 "," 22,944 ", - , ** , - , ** ,
