major_category,minor_category,Occupational Category,total_salary,total_mens_salary,total_womens_salary,total_less_bachelors,mens_less_bachelors,womens_less_bachelors,total_with_bachelors,men_with_bachelors,women_with_bachelors,
"Production, Transportation, and Material Moving Occupations",Production Occupations,Helpers--production workers," 28,530 "," 30,342 "," 25,789 "," 28,425 "," 30,469 "," 25,219 "," 30,020 "," 26,768 "," 37,048 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Production workers, all other"," 36,164 "," 40,044 "," 28,213 "," 35,812 "," 39,570 "," 27,498 "," 42,229 "," 46,773 "," 38,633 ",
Transportation and Material Moving Occupations,,Transportation and Material Moving Occupations," 38,522 "," 40,568 "," 28,759 "," 37,498 "," 40,253 "," 27,529 "," 47,112 "," 49,176 "," 40,567 ",
,Transportation Occupations,Transportation Occupations," 42,408 "," 44,604 "," 32,657 "," 42,021 "," 43,141 "," 31,743 "," 51,299 "," 51,737 "," 46,158 ",
,Transportation Occupations,Supervisors of transportation and material moving workers," 51,992 "," 55,434 "," 41,287 "," 51,154 "," 53,850 "," 40,275 "," 60,060 "," 61,387 "," 51,520 ",
,Transportation Occupations,Aircraft pilots and flight engineers," 102,405 "," 104,347 "," 90,665 "," 89,266 "," 90,820 "," 62,244 "," 117,380 "," 120,108 "," 99,171 ",
,Transportation Occupations,Air traffic controllers and airfield operations specialists," 94,459 "," 96,832 "," 75,551 "," 91,318 "," 95,176 "," 61,762 "," 97,682 "," 100,068 "," 93,196 ",
,Transportation Occupations,Flight attendants," 50,309 "," 60,232 "," 46,581 "," 48,295 "," 55,066 "," 46,410 "," 51,337 "," 62,848 "," 46,767 ",
,Transportation Occupations,"Ambulance drivers and attendants, except emergency medical technicians"," 29,054 "," 29,034 "," 29,556 "," 28,090 "," 28,042 "," 29,315 "," 62,067 "," 70,075 ", - ,
,Transportation Occupations,Bus drivers," 35,383 "," 38,986 "," 29,806 "," 35,245 "," 39,293 "," 29,462 "," 36,731 "," 37,179 "," 33,947 ",
,Transportation Occupations,Driver/sales workers and truck drivers," 43,425 "," 44,330 "," 35,108 "," 43,384 "," 44,340 "," 33,224 "," 44,124 "," 44,169 "," 42,154 ",
,Transportation Occupations,Taxi drivers and chauffeurs," 28,140 "," 29,350 "," 25,499 "," 27,903 "," 29,506 "," 25,176 "," 29,311 "," 28,750 "," 32,028 ",
,Transportation Occupations,"Motor vehicle operators, all other"," 32,044 "," 32,676 "," 24,238 "," 32,582 "," 33,075 "," 24,494 "," 29,415 "," 30,132 ", - ,
,Transportation Occupations,Locomotive engineers and operators," 85,844 "," 86,161 "," 80,335 "," 85,730 "," 86,021 "," 80,943 "," 86,446 "," 86,817 "," 76,402 ",
,Transportation Occupations,"Railroad brake, signal, and switch operators"," 61,612 "," 62,142 ", - ," 60,949 "," 61,515 ", - ," 90,693 "," 90,693 ", - ,
,Transportation Occupations,Railroad conductors and yardmasters," 73,738 "," 75,459 "," 58,473 "," 75,112 "," 75,628 "," 58,294 "," 70,440 "," 72,021 "," 60,253 ",
,Transportation Occupations,"Subway, streetcar, and other rail transportation workers"," 66,551 "," 67,275 "," 50,528 "," 66,211 "," 66,972 "," 50,528 "," 73,304 "," 73,304 ", - ,
,Transportation Occupations,Sailors and marine oilers," 50,692 "," 51,088 "," 48,132 "," 50,559 "," 51,163 "," 36,920 "," 52,268 "," 50,384 ", - ,
,Transportation Occupations,Ship and boat captains and operators," 73,963 "," 74,801 "," 60,649 "," 74,524 "," 74,718 "," 37,681 "," 72,096 "," 80,251 "," 61,068 ",
,Transportation Occupations,Ship engineers," 76,346 "," 75,780 ", - ," 75,818 "," 75,301 ", - ," 110,702 "," 111,125 ", - ,
,Transportation Occupations,Bridge and lock tenders," 52,465 "," 54,118 "," 46,458 "," 55,160 "," 55,406 "," 46,458 "," 41,376 "," 41,376 ", - ,
,Transportation Occupations,Parking lot attendants," 24,655 "," 25,202 "," 23,533 "," 24,557 "," 25,130 "," 23,558 "," 25,643 "," 25,711 "," 21,106 ",
,Transportation Occupations,Automotive and watercraft service attendants," 26,653 "," 27,067 "," 22,959 "," 26,216 "," 26,610 "," 23,059 "," 45,169 "," 45,277 ", - ,
,Transportation Occupations,Transportation inspectors," 60,745 "," 62,132 "," 41,384 "," 58,044 "," 60,981 "," 36,314 "," 70,081 "," 72,454 "," 55,742 ",
,Transportation Occupations,"Transportation attendants, except flight attendants"," 29,819 "," 45,315 "," 27,543 "," 30,738 "," 50,079 "," 26,452 "," 28,718 "," 28,221 "," 29,046 ",
,Transportation Occupations,Other transportation workers," 40,103 "," 41,919 "," 27,410 "," 39,184 "," 41,602 "," 27,166 "," 50,875 "," 60,100 ", - ,
,Material Moving Occupations,Material Moving Occupations," 31,616 "," 33,050 "," 25,670 "," 31,531 "," 32,800 "," 25,471 "," 34,876 "," 36,007 "," 30,891 ",
,Material Moving Occupations,Conveyor operators and tenders," 37,019 "," 38,294 "," 30,561 "," 37,242 "," 38,123 "," 31,384 "," 6,942 ", - , - ,
,Material Moving Occupations,Crane and tower operators," 60,534 "," 60,675 "," 40,682 "," 60,133 "," 60,323 "," 37,194 "," 66,940 ", - , - ,
,Material Moving Occupations,"Dredge, excavating, and loading machine operators"," 45,059 "," 45,348 "," 31,116 "," 45,512 "," 45,802 "," 31,116 "," 27,040 "," 27,040 ", - ,
,Material Moving Occupations,Hoist and winch operators," 50,411 "," 50,717 ", - ," 50,430 "," 50,737 ", - , - , - , - ,
,Material Moving Occupations,Industrial truck and tractor operators," 33,734 "," 33,855 "," 32,803 "," 33,707 "," 33,877 "," 32,479 "," 34,530 "," 33,291 "," 51,558 ",
,Material Moving Occupations,Cleaners of vehicles and equipment," 26,951 "," 27,506 "," 22,619 "," 26,877 "," 27,471 "," 22,399 "," 30,691 "," 30,576 "," 31,028 ",
,Material Moving Occupations,"Laborers and freight, stock, and material movers, hand"," 31,887 "," 33,145 "," 27,228 "," 31,764 "," 32,781 "," 26,979 "," 35,760 "," 36,208 "," 31,751 ",
,Material Moving Occupations,Machine feeders and offbearers," 30,138 "," 34,283 "," 22,418 "," 30,151 "," 34,006 "," 22,326 "," 27,436 "," 36,524 "," 25,113 ",
,Material Moving Occupations,"Packers and packagers, hand"," 24,492 "," 27,054 "," 22,175 "," 24,256 "," 27,042 "," 22,070 "," 27,289 "," 27,203 "," 27,407 ",
,Material Moving Occupations,Pumping station operators," 62,206 "," 62,162 "," 67,083 "," 61,662 "," 61,639 "," 65,882 "," 70,889 "," 70,689 ", - ,
,Material Moving Occupations,Refuse and recyclable material collectors," 34,013 "," 35,530 "," 25,216 "," 32,948 "," 35,100 "," 25,526 "," 42,771 "," 45,682 "," 18,624 ",
,Material Moving Occupations,Mine shuttle car operators," 43,866 "," 43,808 ", - ," 43,866 "," 43,808 ", - , - , - , - ,
,Material Moving Occupations,"Tank car, truck, and ship loaders"," 45,723 "," 45,888 ", - ," 44,763 "," 45,094 ", - ," 50,872 "," 50,872 ", - ,
,Material Moving Occupations,"Material moving workers, all other"," 37,063 "," 37,543 "," 33,259 "," 37,009 "," 37,395 "," 34,241 "," 42,091 "," 51,833 ", - ,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Footnotes:,,,,,,,,,,
,,"An ""-"" entry indicates that too few sample observations were available to compute an estimate or the category is not applicable.",,,,,,,,,,
,,** An '**' entry in the margin of error column indicates that  too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,,,,,,,
,,1 Occupation codes are based on the Standard Occupational Classification 2010. ,,,,,,,,,,
,,"2 Data are based on a sample and are subject to sampling variability. A margin of error is a measure of an estimate's variability. The larger the margin of error in relation to the size of the estimates, the less reliable the estimate. When added to and subtracted from the estimate, the margin of error forms the 90 percent confidence interval. ",,,,,,,,,,
,,,,,,,,,,,,
,,"Source: U.S. Census Bureau, 2016 American Community Survey. For more information, see https://www.census.gov/programs-surveys/acs/",,,,,,,,,,
,,,,,,,,,,,,
,,Internet release date: ,,,,,,,,,,
